CourseId	Name	Description	Rating	SportId	TeacherId
32	Become a Pro Gamer (eSports Athlete)	"A guide of insights, inspiration, advice and tools to gain a concrete vision of what it means to become a pro gamer."	4.6		
33	Become a Safe and Efficient Dive Explorer	A-Z innovative guide to the diving techniques used by the most succesful Dive Explorers and Researchers worldwide.	4.0		
34	Anterior Cruciate Ligament (ACL) Masterclass	Evidence Based Management of ACL Injuries by Nicky van Melick	4.8		
35	4-Week Speed Training Program	"Improve your maximum running speed. Learn how to run faster in this easy-to-follow, 4-week training program."	4.3		
36	Refresh and Upgrade Your Scuba Diving Skills	"Breathing Techniques, Buoyancy Control, Air Consumption, Scuba Gear Review, Meditation & More!"	4.6		
37	How To Rock Climb	Everything You Need To Know To Get Started Climbing!	4.5		
38	+17 Tutorials to Rocket Your Ping Pong Level (Intermediate)	Become an Expert in Ping Pong. From Amateur to Advanced in only 4 weeks. Personal coaching with the best coach in China.	4.9		
39	13 Crucial Table Tennis Skills You Need to Master (Beginner)	Fundamental Skills and Strategy in Table Tennis that every player should master!	4.4		
40	Master Your Tennis Serve: Ultimate Tennis Serve Blueprint	Imagine that you could serve just like ATP tennis pros do! How would it change your game?	4.7		
41	Athletic taping	Wrapping and taping for sports injuries	4.2		
42	Practical Sport Psychology	"The 'how, why, when, and where' to use sport psychology skills and techniques with athletes and coaches"	3.8		
43	3 Tips To How To Fix The Late Contact Point	Fix Your Late Contact Point & Start Winning More Tennis Matches With Much More Effortless Forehand	4.8		
44	Essential Horsemanship Skills: How to Handle and Ride Horses	A clear and useable guide for beginning riders on the basics of horseback riding and horse handling	4.7		
45	Fully Accredited Certification in Sports Psychology	An essential professional sports psychology course for athletes and counsellors for winning coaching and management	4.6		
46	Soccer Conditioning: Test and Improve Player Fitness Levels	Learn the Secrets of Accupressure and High Performance Fitness Training for Soccer (Football) Players	4.2		
47	"Golf Fundamentals | Learn the basics well, from a pro coach."	"Rapidly learn how to golf with these practically taught golf fundamentals of posture, grip, club selection, and swing."	4.8		
48	A Practical Guide to Find Work in European Football (Soccer)	A Comprehensive and Practical Course on How to Get a Job in Football (Soccer) via a Top Expert's Advice	4.5		
49	Fundamentals of Kinesiology Taping	The perfect introduction or recap to Kinesiology Taping. Learn to tape faster and more effectively.	4.4		
50	Tai Chi for Absolute Beginners! (Part 1)	A step by step guide to get you started learning Tai Chi: improve your balance and find inner calm!	4.9		
51	Treat & Heal shoulder & neck pain in WEST swimming technique	"Learn how to treat swimmer's shoulder by strengthening, loosening and elongating other parts of your body."	4.3		
52	Coaching Kids Soccer 101	"Covers all the elements needed to have a fun, enjoyable, and productive time coaching kids soccer."	4.5		
53	Strength Development Program for Runners	"Become a stronger runner. Learn how to properly build up strength in this easy-to-follow, 4-week training program."	4.5		
54	Trout Fishing: A Simple Method For Catching More Trout	Catching Trout is Easy Once You Know How to Apply a Few Basic Principles	4.5		
55	Mindset of a Champion	Winning gold medals can only happen with top mental performance. Discover the formula for achieving outstanding results.	4.4		
56	The Complete Tennis Course: Take Your Game To The Next Level	Learn How to Perfect Your Game through a Proven Training Program for All Levels of Play: Taught by Pro Joseph Correa	4.5		
57	Developing Speed for All Ages	Teaching the technical and strategic aspects to develop sprinters	4.9		
58	Sports Blog - How to Start a WordPress Sports Blog	Sports blogs are one of the best ways to stay updated with your favorite teams. See how to start a sports blog today.	3.6		
59	The Complete Course on Sport Events and Facility Management	An In-Depth Look at the Work of Sports Event and Facility Managers and What it Takes to Run a Successful Sports Event	4.3		
60	Learn How To Surf: Start Ripping Today!	Learn the fundamental skills of surfing from ex-pro junior surfers with ongoing online support!	4.5		
61	Youth Basketball: How to Get Better at Basketball For Kids	Rise Above Your Competition in Boys Basketball and Girls Basketball and Move from Beginner to Well-Trained MVP.	4.1		
62	Ultimate Guide To Core Stability	"Stabilize your Core for Strength, Power, and Athletics"	4.4		
63	Improve your Running - with Coach to Champion Runners	"Learn to improve your running, with better technique, developing training plans, strength exercises, nutrition and more!"	4.2		
64	Essentials of the Professional Sports Business Management	Hand Picked Sports Management Business Lessons by expert faculty on Sports & E-sports management for business & career.	4.1		
65	How to Juggle 3 Balls -- From Start To Star!	"Impress your family, show off to your friends! I guild you step by step with easy to follow videos."	5.0		
66	Online Golf Clinic: Improve Your Short Game in 9 Sessions	"Improve your pitching, putting, chipping and more in just 9 sessions with Lee Crombleholme, coach to tour-winning pros."	4.1		
67	How Sports Marketing Changed the Game	The Ultimate Sports Marketing Course with Essential Information & Practical Examples to Become a Better Sports Marketer	4.5		
68	Sports Massage: Learn Self Massage and Deep Tissue Massage	How to Achieve a Lifetime of Sustained Peak Performance	3.5		
69	Learn everything about Sports Betting - Wager and Win	"Sports Betting course for Wagering on soccer, baseball, auto racing, tennis, football, golf, basketball, and hockey."	4.3		
70	Possession - Football (Soccer) Play-Styles	Learn how to coach and play an effective possession football	4.6		
71	From 1K to swimming 4K	In this course you will change your swimming technique and you will be able to swim long distance with less effort.	4.1		
72	Off-Road Driving - Tips & Skills	Learn skills and tips from an expert off road driving instructor in Alaska	"adventure in your 4x4, SUV, truck, etc."	3.9	
73	Training the Athletic Brain	Unique brain training course that relates research from brain science and skill acquisition with practical outcomes	4.5		
74	Mental Basketball Training	How to master your mind	4.3		
75	How to String a Tennis Racket	A simple Step by Step Guide to Help you String your own Tennis Racket	4.6		
76	Performance Analysis Techniques in Applied Coaching Level 3	Applied Performance Analysis Techniques in Sport Coaching	4.3		
77	Train 2 Dominate | The Ultimate Soccer Training Routine	"The Quickest Way To Reach Top Form in Soccer, Become a Standout Player, and Dominate When You Play"	4.8		
78	The easy way to learn AMERICAN FOOTBALL!	Learn the simple things you must know to understand and enjoy the most popular sport in America!	4.8		
79	How to Climb Your Best	A new way of looking at climbing that will increase your success and enjoyment from Momentum Media featuring Ty Landman	4.7		
80	Scuba Explorer Course	Let's GO DIVING ! Everything you need to know to become an independent Open Water Dive Explorer.	4.4		
81	Insider Sports Betting - Baseball Edition	"Learn everything you need to know to start, or become a more successful baseball bettor"	4.0		
82	Tennis 101: How to Play Tennis	"Learn and Master the Fundamentals of Tennis with College Head Tennis Coach, Adrian Gonzales"	4.7		
83	School of Fish SWIMMING ESSENTIALS - Course 1	"Learn the Building Blocks for all swimming strokes and skills with the first three levels: Starfish, Seahorse & Seal"	4.5		
84	Ultimate Cricket Batting Course: All Levels	"BUY this course for step-by-step visuals, in-depth explanations on how to play each shot, key tips and technical advice"	4.6		
85	Sports Management: Strategy and Performance	A Detailed Look at How Businesses and Sports Organisations Plan and Build Strategies to Improve Performances	4.5		
86	Trick Tutor Basic: Skateboard Start-Up System	The entry-level foundation of skateboarding-the transportation techniques. A pre-cursor course to Trick Tutor Mastery	4.4		
87	Nutrition for Athletes	A comprehensive beginners introduction to nutrition for sport and exercise (e-book included)	4.6		
88	Get Tennis Champion Mindset Program a Tennis Winning Mindset	Become more focused on the tennis ball discover playing tennis in the maximum winning flow state of mind with Hypnosis	4.1		
89	"Innovation in Sports: Past, Present and Future"	A Comprehensive Overview on How Innovation Has Become Critical for Success and Changed the Way We Play and View Sports	3.9		
